individual.local.identifier..ID.	status	model	sex	age	weight	collar_type	brand	schedule	project_region	project_bioveg	timezone
63	Resident	OUF	Male	5	79	GPS store-on-board	Televilt	8h	Atlantic Forest W2	Atlantic Forest	-3
64	Resident	OU	Male	5	50	GPS Iridium	ATS	2h	Mexico Sonora	Thornscrub	-7
65	Resident	OUF	Female	2	48	GPS Globalstar	Northstar	4 h	Cerrado1	Cerrado	-3
66	Resident	OU	Female	2	48	GPS Globalstar	Lotek	2h	Iguazu	Atlantic Forest	-3
67	Not Estimated	Not Estimated	Female	2	49	GPS Globalstar	Northstar	4 h	Cerrado1	Cerrado	-3
68	Resident	OUF	Male	10	110	GPS Iridium	Lotek	1h	Oncafari	Pantanal	-4
69	Resident	OUF	Female	3	82	GPS Iridium	Lotek	1h	Oncafari	Pantanal	-4
70	Resident	OUF	Male	5	89	GPS store-on-board	Telonics	4 h	Dry chaco	Dry chaco	-4
71	Resident	OUF	Female	9	41	GPS store-on-board	Telonics	4 h	Dry chaco	Dry chaco	-4
72	Resident	OUF	Male	2	40	GPS store-on-board	Telonics	4 h	Dry chaco	Dry chaco	-4
73	Resident	OUF	Male	5	84	GPS store-on-board	Telonics	4 h	Dry chaco	Dry chaco	-4
74	Resident	OU	Female	4	66	GPS store-on-board	Telonics	4 h	Pantanal Paraguay	Pantanal	-4
75	Resident	OUF	Female	2	66	GPS store-on-board	Telonics	4 h	Pantanal Paraguay	Pantanal	-4
76	Resident	OUF	Female	6	51	GPS store-on-board	Telonics	4 h	Dry chaco	Atlantic Forest	-4
77	Resident	OUF	Male	7	105	GPS store-on-board	Telonics	4 h	Dry chaco	Dry chaco	-4
78	Resident	OUF	Female	6	61	GPS store-on-board	Telonics	4 h	Forest Paraguay	Atlantic Forest	-4
79	Resident	OUF	Female	10	76	GPS Iridium	Lotek	1h	Oncafari	Pantanal	-4
80	Not Resident	Not Resident	Male	1.5	42	GPS remote download	Televilt	1.5 h	Iguazu	Atlantic Forest	-3
81	Not Resident	Not Resident	Male	4	100	GPS Iridium	Lotek	2h	Taiama	Pantanal	-4
82	Resident	OUF	Male	6	110	GPS Globalstar	Northstar	4 h	Cerrado1	Cerrado	-3
83	Not Resident	Not Resident	Male	"3,5"	58	GPS remote download	Televilt	4h	Iguazu	Atlantic Forest	-3
84	Resident	OUF	Female	7	95	GPS Iridium	Lotek	1h	Oncafari	Pantanal	-4
85	Resident	OUF	Male	2	52	GPS Globalstar	Northstar	4 h	Cerrado1	Cerrado	-3
86	Resident	OUF	Female	10	90	GPS Iridium	Lotek	1h	Oncafari	Pantanal	-4
87	Resident	OUF	Female	5	90	GPS Iridium	Lotek	1h	Oncafari	Pantanal	-4
88	Resident	OU	Female	5	65.7	GPS Globalstar	Lotek	2h	Taiama	Pantanal	-4
89	Resident	OUF	Male	6	95	GPS Globalstar	Northstar	6h	Cerrado2	Cerrado	-3
90	Resident	OUF	Female	6	52	GPS Globalstar	Lotek	2h	Iguazu	Atlantic Forest	-3
91	Resident	OUF	Male	4	102	GPS remote download	Televilt	6h	Taiama	Pantanal	-4
92	Resident	OU	Female	4	70	GPS remote download	Televilt	6h	Taiama	Pantanal	-4
93	Resident	OUF	Male	7	50	GPS Argos	Telonics	6h	Mamiraua	Amazonia_flood	-4
94	Resident	OUF	Male	7	NA	GPS Argos	Telonics	6h	Mamiraua	Amazonia_flood	-4
95	Resident	OUF	Male	8	49	GPS Argos	Telonics	2h	Mamiraua	Amazonia_flood	-4
96	Resident	OUF	Female	6	42	GPS Argos	Telonics	6h	Mamiraua	Amazonia_flood	-4
97	Resident	OU	Male	7	55	GPS Argos	Telonics	6h	Mamiraua	Amazonia_flood	-4
98	Resident	OUF	Female	11	NA	GPS Argos	Telonics	5h	Mamiraua	Amazonia_flood	-4
99	Resident	OUF	Female	4	40	GPS Argos	Telonics	2h	Mamiraua	Amazonia_flood	-4
100	Resident	OUF	Female	6	NA	GPS Argos	Telonics	6h	Mamiraua	Amazonia_flood	-4
101	Resident	OUF	Male	7	115	GPS Globalstar	Northstar	6h	Rio Negro	Pantanal	-4
102	Not Resident	Not Resident	Female	7	92	GPS Globalstar	Northstar	6h	Rio Negro	Pantanal	-4
103	Not Estimated	Not Estimated	Female	1.5	60	GPS Globalstar	Northstar	6h	Rio Negro	Pantanal	-4
104	Resident	OUF	Male	5	130	GPS Globalstar	Northstar	6h	Rio Negro	Pantanal	-4
105	Resident	OU	Female	3	70	GPS remote download	Televilt	3h	Sao Bento	Pantanal	-4
106	Resident	OUF	Male	3	112	GPS remote download	Televilt	3h	Sao Bento	Pantanal	-4
107	Resident	OUF	Male	9	124	GPS remote download	Televilt	3h	Sao Bento	Pantanal	-4
108	Resident	OUF	Male	7	128	GPS remote download	Televilt	3h	Sao Bento	Pantanal	-4
109	Resident	OU	Female	3.5	68	GPS remote download	Televilt	3h	Sao Bento	Pantanal	-4
110	Resident	OU	Male	4	110	GPS remote download	Televilt	3h	Sao Bento	Pantanal	-4
111	Resident	OU	Female	8	92	GPS remote download	Televilt	3h	Sao Bento	Pantanal	-4
112	Resident	OU	Female	0.8	22	GPS remote download	Televilt	3h	Sao Bento	Pantanal	-4
113	Resident	OU	Female	4.5	80	GPS remote download	Televilt	3h	Sao Bento	Pantanal	-4
114	Resident	OU	Female	8	76	GPS remote download	Televilt	3h	Sao Bento	Pantanal	-4
115	Resident	OUF	Female	2	44	GPS remote download	Televilt	3h	Sao Bento	Pantanal	-4
116	Resident	OUF	Male	6	96	GPS Iridium	Lotek	1h	Taiama	Pantanal	-4
117	Resident	OUF	Female	6	70	GPS Iridium	Lotek	1h	Taiama	Pantanal	-4
